what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.context.ui,1232181676263
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.tasks.ui,1232181676524
started,bundle,org.eclipse.mylyn.team.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.team.ui,1232181676584
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.monitor.ui,1232181676715
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232181756420
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232181757901
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1232181832466
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232181836092
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232181837298
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232181838073
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232181945076
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232182029390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232182038097
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232182040491
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232182041921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232182043689
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1232182050041
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232182050199
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232182066347
executed,command,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.edit.text.c.toggle.comment,1232182072373
executed,command,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.edit.text.c.toggle.comment,1232182076232
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232182082953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232182122558
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1232182133554
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232182134928
