what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186051173
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186060325
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232186075501
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232186100162
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232186103480
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1232186152951
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1232186154005
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1232186158707
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1232186160353
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1232186163057
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186172419
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186174662
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186177166
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186196429
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186221188
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186224634
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186240574
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186246641
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186263326
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1232186307552
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ResourceNavigator,1232186360722
opened,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232186365204
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232186365976
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232186375525
closed,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1232186375552
